sample,group,short_reads_1,short_reads_2,longs_reads
SRR12557703,SRS5300639,SRR12557703_1.fastq.gz,SRR12557703_2.fastq.gz,
SRR12557702,SRS5300640,SRR12557702_1.fastq.gz,SRR12557702_2.fastq.gz,
SRR12557732,SRS5300641,SRR12557732_1.fastq.gz,SRR12557732_2.fastq.gz,
ERR4128915,ERS4545921,ERR4128915_1.fastq.gz,ERR4128915_2.fastq.gz,
ERR4128916,ERS4545921,ERR4128916_1.fastq.gz,ERR4128916_2.fastq.gz,
ERR4128917,ERS4545922,ERR4128917_1.fastq.gz,ERR4128917_2.fastq.gz,
ERR4128918,ERS4545922,ERR4128918_1.fastq.gz,ERR4128918_2.fastq.gz,
SRR10156758,SRS5416709,SRR10156758_1.fastq.gz,SRR10156758_2.fastq.gz,
SRR10156757,SRS5416710,SRR10156757_1.fastq.gz,SRR10156757_2.fastq.gz,
SRR10156746,SRS5416721,SRR10156746_1.fastq.gz,SRR10156746_2.fastq.gz,
SRR10156735,SRS5416732,SRR10156735_1.fastq.gz,SRR10156735_2.fastq.gz,
SRR10156724,SRS5416743,SRR10156724_1.fastq.gz,SRR10156724_2.fastq.gz,
SRR10156713,SRS5416754,SRR10156713_1.fastq.gz,SRR10156713_2.fastq.gz,
SRR10156710,SRS5416757,SRR10156710_1.fastq.gz,SRR10156710_2.fastq.gz,
SRR10156709,SRS5416758,SRR10156709_1.fastq.gz,SRR10156709_2.fastq.gz,
SRR10156708,SRS5416759,SRR10156708_1.fastq.gz,SRR10156708_2.fastq.gz,
SRR10156707,SRS5416760,SRR10156707_1.fastq.gz,SRR10156707_2.fastq.gz,
SRR10156756,SRS5416711,SRR10156756_1.fastq.gz,SRR10156756_2.fastq.gz,
SRR10156755,SRS5416712,SRR10156755_1.fastq.gz,SRR10156755_2.fastq.gz,
SRR10156754,SRS5416713,SRR10156754_1.fastq.gz,SRR10156754_2.fastq.gz,
SRR10156753,SRS5416714,SRR10156753_1.fastq.gz,SRR10156753_2.fastq.gz,
SRR10156752,SRS5416715,SRR10156752_1.fastq.gz,SRR10156752_2.fastq.gz,
SRR10156751,SRS5416716,SRR10156751_1.fastq.gz,SRR10156751_2.fastq.gz,
SRR10156750,SRS5416717,SRR10156750_1.fastq.gz,SRR10156750_2.fastq.gz,
SRR10156749,SRS5416718,SRR10156749_1.fastq.gz,SRR10156749_2.fastq.gz,
SRR10156748,SRS5416719,SRR10156748_1.fastq.gz,SRR10156748_2.fastq.gz,
SRR10156747,SRS5416720,SRR10156747_1.fastq.gz,SRR10156747_2.fastq.gz,
SRR10156745,SRS5416722,SRR10156745_1.fastq.gz,SRR10156745_2.fastq.gz,
SRR10156744,SRS5416723,SRR10156744_1.fastq.gz,SRR10156744_2.fastq.gz,
SRR10156743,SRS5416724,SRR10156743_1.fastq.gz,SRR10156743_2.fastq.gz,
SRR10156742,SRS5416725,SRR10156742_1.fastq.gz,SRR10156742_2.fastq.gz,
SRR10156741,SRS5416726,SRR10156741_1.fastq.gz,SRR10156741_2.fastq.gz,
SRR10156740,SRS5416727,SRR10156740_1.fastq.gz,SRR10156740_2.fastq.gz,
SRR10156739,SRS5416728,SRR10156739_1.fastq.gz,SRR10156739_2.fastq.gz,
SRR10156738,SRS5416729,SRR10156738_1.fastq.gz,SRR10156738_2.fastq.gz,
SRR10156737,SRS5416730,SRR10156737_1.fastq.gz,SRR10156737_2.fastq.gz,
ERR3772643,ERS4197088,ERR3772643_1.fastq.gz,ERR3772643_2.fastq.gz,
ERR3772644,ERS4197089,ERR3772644_1.fastq.gz,ERR3772644_2.fastq.gz,
ERR3772645,ERS4197090,ERR3772645_1.fastq.gz,ERR3772645_2.fastq.gz,
SRR8652706,SRS4426901,SRR8652706_1.fastq.gz,SRR8652706_2.fastq.gz,
SRR8652707,SRS4426900,SRR8652707_1.fastq.gz,SRR8652707_2.fastq.gz,
SRR8652708,SRS4426899,SRR8652708_1.fastq.gz,SRR8652708_2.fastq.gz,
SRR8652709,SRS4426898,SRR8652709_1.fastq.gz,SRR8652709_2.fastq.gz,
SRR8652710,SRS4426897,SRR8652710_1.fastq.gz,SRR8652710_2.fastq.gz,
SRR8652711,SRS4426896,SRR8652711_1.fastq.gz,SRR8652711_2.fastq.gz,
SRR8652712,SRS4426895,SRR8652712_1.fastq.gz,SRR8652712_2.fastq.gz,
SRR8652713,SRS4426894,SRR8652713_1.fastq.gz,SRR8652713_2.fastq.gz,
SRR8652714,SRS4426893,SRR8652714_1.fastq.gz,SRR8652714_2.fastq.gz,
SRR8652715,SRS4426892,SRR8652715_1.fastq.gz,SRR8652715_2.fastq.gz,
SRR8652716,SRS4426891,SRR8652716_1.fastq.gz,SRR8652716_2.fastq.gz,
SRR8652717,SRS4426890,SRR8652717_1.fastq.gz,SRR8652717_2.fastq.gz,
SRR13106729,SRS7756742,SRR13106729_1.fastq.gz,SRR13106729_2.fastq.gz,
SRR13106730,SRS7756741,SRR13106730_1.fastq.gz,SRR13106730_2.fastq.gz,
SRR13106731,SRS7756740,SRR13106731_1.fastq.gz,SRR13106731_2.fastq.gz,
SRR13106732,SRS7756739,SRR13106732_1.fastq.gz,SRR13106732_2.fastq.gz,
