sample,group,short_reads_1,short_reads_2,longs_reads
SRR8731956,SRS4491530,SRR8731956.fastq.gz,,
SRR8731959,SRS4491527,SRR8731959.fastq.gz,,
ERR4903906,ERS5428032,ERR4903906.fastq.gz,,
ERR4903907,ERS5428033,ERR4903907.fastq.gz,,
ERR4903908,ERS5428034,ERR4903908.fastq.gz,,
ERR4903909,ERS5428035,ERR4903909.fastq.gz,,
ERR4903910,ERS5428036,ERR4903910.fastq.gz,,
ERR4903911,ERS5428037,ERR4903911.fastq.gz,,
ERR4903912,ERS5428038,ERR4903912.fastq.gz,,
ERR4903913,ERS5428039,ERR4903913.fastq.gz,,
ERR4903914,ERS5428040,ERR4903914.fastq.gz,,
ERR4903915,ERS5428041,ERR4903915.fastq.gz,,
ERR4903916,ERS5428042,ERR4903916.fastq.gz,,
ERR4903917,ERS5428043,ERR4903917.fastq.gz,,
ERR4903918,ERS5428044,ERR4903918.fastq.gz,,
ERR4903919,ERS5428045,ERR4903919.fastq.gz,,
ERR4426516,ERS4921365,ERR4426516.fastq.gz,,
ERR4426517,ERS4921366,ERR4426517.fastq.gz,,
ERR4426518,ERS4921367,ERR4426518.fastq.gz,,
ERR4426519,ERS4921368,ERR4426519.fastq.gz,,
ERR4426520,ERS4921369,ERR4426520.fastq.gz,,
ERR4426521,ERS4921370,ERR4426521.fastq.gz,,
ERR4426522,ERS4921371,ERR4426522.fastq.gz,,
ERR4426523,ERS4921372,ERR4426523.fastq.gz,,
ERR4426524,ERS4921373,ERR4426524.fastq.gz,,
ERR4426525,ERS4921374,ERR4426525.fastq.gz,,
ERR4426526,ERS4921375,ERR4426526.fastq.gz,,
ERR4426527,ERS4921376,ERR4426527.fastq.gz,,
ERR4426529,ERS4921378,ERR4426529.fastq.gz,,
ERR4426530,ERS4921379,ERR4426530.fastq.gz,,
ERR4426531,ERS4921380,ERR4426531.fastq.gz,,
ERR4426532,ERS4921381,ERR4426532.fastq.gz,,
ERR4426533,ERS4921382,ERR4426533.fastq.gz,,
ERR4426534,ERS4921383,ERR4426534.fastq.gz,,
ERR4426535,ERS4921384,ERR4426535.fastq.gz,,
ERR4426536,ERS4921385,ERR4426536.fastq.gz,,
ERR4426537,ERS4921386,ERR4426537.fastq.gz,,
ERR4426538,ERS4921387,ERR4426538.fastq.gz,,
ERR4426539,ERS4921388,ERR4426539.fastq.gz,,
ERR4426540,ERS4921389,ERR4426540.fastq.gz,,
ERR4426541,ERS4921390,ERR4426541.fastq.gz,,
ERR4426542,ERS4921391,ERR4426542.fastq.gz,,
ERR4426543,ERS4921392,ERR4426543.fastq.gz,,
ERR4426545,ERS4921394,ERR4426545.fastq.gz,,
ERR4426546,ERS4921395,ERR4426546.fastq.gz,,
